Date,Ticker,Type,Shares,entry
8/22/2025,SOFI,Buy,400,$12.46 
8/22/2025,OPEN,Buy,1200,$3.10 
8/22/2025,NVDA,Buy,90,$177 
8/22/2025,MSFT,Buy,27,$390.04 
8/22/2025,JPM,Buy,90,$223.55 
8/22/2025,HNST,Buy,1000,$3.55 
8/22/2025,AMZN,Buy,20,$184.23 
8/22/2025,MCD,Buy,5,$313.31 
9/6/2025,GOOGL,Buy,100,$239.73 
9/6/2025,NVDA,Sell,-90,$170 
9/28/2025,OPEN,Sell,-1200,$8.80 
9/29/2025,BABA,Buy,120,$121.56 
10/30/2025,MCD,Sell,-5,$302.36 
10/30/2025,SOFI,Sell,-80,$29.03 
10/30/2025,JPM,Sell,-18,309.45
10/23/2025,AMZN,Buy,50,$216 
11/6/2025,HNST,Sell,-1000,$3.20 
10/30/2025,WMT,Buy,100,$102.23 
8/22/2025,INTC,Buy,650,$21.00 
9/17/2025,UGL,Buy,59,$41.63 
9/17/2025,GLD,Buy,7,$336.97 
10/1/2025,FMRI,Buy,190,21
10/2/2025,FMRI,Sell,-190,36.5
9/24/2025,GSRT,Buy,370,10.82
10/7/2025,GSRT,Sell ,-370,$15.52 
11/3/2025,CRSP,Buy,79,63
11/3/2025,PLTR,Buy,16,207
11/3/2025,HOOD,Buy,23,147
11/3/2025,IREN,Buy,51,67.75
11/3/2025,HUT,Buy,63,55.11
11/6/2025,CSRP,Sell,-79,59.85
11/6/2025,PLTR,Sell,-16,196.82
11/6/2025,HOOD,Sell,-23,139.73
11/6/2025,IREN,Sell,-51,64.36
11/6/2025,HUT,Sell,-63,52.35
